skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Salvation	125	pal	salvation		65																73731	resistall	resistall		ln12	fireresist	edmn	coldresist	edmn	lightresist	edmn	passive_ltng_mastery	edmx / 2	passive_cold_mastery	edmx / 2	passive_fire_mastery	edmx / 2																																																																							1	1	8		none														xx																										30	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	20	min % resist	75	max % resist									1								8																20	4	3	2	1	1	3	1	1	1	1	1									896	80000
Bash	126	bar	bash	32	158																																																																									barbarian_grunt_small_1	1																														1	7		h2h												A1	A1	xx				1		1	1								1											1	20													1						1	6	8	1	1										ln56 + (skill('Stun'.blvl) + skill('Berserk'.blvl)) * par8	dmg%	ln34	post dmg add		attack rate bonus							1	Min Damage	1	Min Damager per level	50	% bash damage	18	% bash damage increase per level	10	to hit synergy	12	damage synergy	1			15+lvl*12+skill('Concentrate'.blvl)*par7			112		8	128																																			256	5000
Sword Mastery	127	bar	sword mastery																																											swordmastery	swor	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	5000
General Mastery	128	bar	general mastery																																											axemastery	gen	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	10	Attack % per level	30	Damage % base	8	damage % per level	0	critical%	35	critical%					1								8																																				256	5000
Mace Mastery	129	bar	mace mastery																																											macemastery	blun	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1		1				1												28	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				256	5000
Howl	130	bar	howl		22												howl						terror																																																							barbarian_howl_1														25					howl				par1 * (lvl-1)	velocity adder							1	0		none												SC	SC	xx				1													1	25								1	20								1											1	8	4	0	1														par1 * (lvl-1)	velocity adder			1	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat		Time per level					1								8																																				256	5000
Find Potion	131	bar	find potion	70	168																																																																							1		barbarian_findobject_1							barbarian_findheart_1						55	104																	1	0		h2h												SC	SC	xx				1				1		4	1															1	20								1											1	8	2	0	1										dm12	chance							0	min chance to find heart	100	max chance to find heart	30	Chance of finding a mana potion	10	Chance of finding rejuv									1								8																																				256	5000
Leap	132	bar	leap	40	153												leapknockback								dm12																																																			1		barbarian_leap_1													29	97																	1	0		none												SQ	A1	xx	13		1																							12	20					Stun								1						1	8	20	0	1										0	damage%	60 + stat('item_leap_speed'.accr) / 4	speed bonus	"min(par3 + blvl * par4, 15)"	knockback radius			10	min distance	30	max distance	7	Knockback range	1	knockback range per level									1				9	3			8																																				512	20000
Double Swing	133	bar	double swing		70																																																																											1											27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1											1	20													1						0	5	4	1	1										ln34 + (skill('Frenzy'.blvl) + skill('Stun'.blvl)) * par8	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus			20	%dmg	18	%dmg / lvl	50	Attack rate bonus					12	damage synergy	1	20	12						8	128																																			256	5000
Pole Arm and Spear Mastery	134	bar	pole arm and spear mastery																																											polearmmastery	pas	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						6	20																			0	8	0	0	1						1												30	Attack % base	10	Attack % per level	30	Damage % base	10	damage % per level	0	critical%	35	critical%					1								8																																				384	10000
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro	passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56	skill_pierce	edln																																																						1	0		none												SC	SC	xx				1																						1	20																			0	8	0	0	1						1												30	Attack % base	10	Attack % per level	30	Damage % base	4	damage % per level	0	critical%	35	critical%					1								8																													15	2	1	1				256	5000
Spear Mastery	136	bar	spear mastery																																											spearmastery	spea	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						6	20																			0	8	0	0	1						1												30	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level	0	critical%	35	critical%					1								8																																				384	10000
Taunt	137	bar	taunt		71																34691		taunt	50	12	item_tohit_percent	ln12	damagepercent	ln34																																																	barbarian_taunt_1														25					taunt												1	0		none												SC	SC	S1				1				1									1									18	20					War Cry			1											1	8	3	0	1																		-5	% to hit for target	-2	% to hit/level	-5	% damage for target	-2	% damage/level									1								8																																				640	40000
Shout	138	bar	shout		68												shout					shout	shout	7500		skill_armor_percent	ln12																																																			barbarian_shout_1														25					shout												1	8		none												SC	SC	SC				1																						6	20					Howl			1											1	8	6	0	1																		25	% AC bonus for friendlies	8	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	10000
Stun	139	bar	stun											stunsplash											5																																																					barbarian_grunt_small_1		1	impact_blade_swing_6																												1	9		h2h		mele										A1	A1	xx				1											1		1									6	20					Bash			1					1						1	8	2	0	1											damage%							0	Frames the target is stunned	0	additional frames/level							0	stun synergy	10	to hit synergy	8	damage synergy	1			40+lvl*15+skill('Concentrate'.blvl)*par7	5		96		8	128	2	1	2	3	4	5	4	2	3	4	5	6		stun														25	2	2	2				384	10000
Double Throw	140	bar	double throw		154												doublethrowaxe	doublethrowknife	doublethrowjav						par3																																																																			98					doublethrowaxe	doublethrowknife	doublethrowjav										1	5		rng	3	comb					comb					SQ	A1	xx	15		1	1																						12	20					Frenzy								1		6				1	6	6	1	1										ln12 + skill('Double Swing'.blvl)*par8	damage%	"min(par5 + lvl / par6, 5)"	#bounces	par4	first hit bonus			45	base dmg%	6	dmg% per level	15	bounce range	0	base first hit bonus	3	# bounces	3	#bounces lvl increase		damage synergy2	5	damage synergy	1	35	15						8	128																																			512	20000
Combat Reflexes	141	bar	combat reflexes																																											increasedstamina		skill_passive_staminapercent	ln12	item_fastergethitrate	ln34	maxhp	(par5 + par6*blvl) * 256																																																								1	0		none												SC	SC	xx				1																						12	20																			0	8	0	0	1						1												30	% stamina increase	15	% stamina increase per level	4	% fhr	1	%fhr per level	20	+life	20	life per level					1								8																																				512	20000
Find Item	142	bar	find item	70	168																																																																							1		barbarian_findobject_1			barbarian_findheart_1										55	104																	1	0		h2h												SC	SC	xx				1				1		5	1															12	20					Find Potion			1											1	8	7	0	1										dm12	chance							5	min chance to find heart	60	max chance to find heart	30	% chance high quality	5	% chance magic item									1								8																																				512	20000
Leap Attack	143	bar	leap attack	40	153												leapattacknova			bash					30																																																																		29	97					leapattacknova												1	6		none		mele										SQ	A1	xx	13		1																							24	20					Leap	Concentrate							1						1	6	28	1	1										ln34+(skill('Leap'.blvl)+skill('Bash'.blvl))*par8	%phys damage	60 + stat('item_leap_speed'.accr) / 4	speed bonus	par5	aoe range			4	min distance	30	max distance	30	dmg % base	12	dmg % per level	7	aoe range					8	damage synergy	1								8	128																																			768	60000
Concentrate	144	bar	concentrate	32	2															doubledamage1		concentrate				skill_armor_percent	ln34																																																			barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	xx				1		1	1								1											12	20					Double Swing								1						1	8	2	0											ln12+skill('Bash'.blvl)*par8+skill('Battle Command'.blvl)*par7	damage%		post dmg add		attack rate bonus	30 + 2*blvl + 2*skill('Bash'.blvl)	convert%	70	Damage % base	14	Damage % per level	20	% AC bonus	4	% AC bonus per level					12	damage synergy	8	damage synergy	1	40	12						8	128														mag																					512	20000
Iron Skin	145	bar	iron skin																																											ironskin		skill_armor_percent	ln12	damageresist	blvl / 2																																																										1	0		none												SC	SC	xx				1																						18	20																			0	8	0	0	1						1												30	% AC bonus	10	% AC bonus per level													1								8																																				640	40000
Battle Cry	146	bar	battle cry		68												battlecry				98304		battlecry	ln12		skill_armor_percent	"-min(ln34, 65)"	damageresist	-(par5+(lvl<22)?lvl:(22+((lvl-22)/2)))																																																	barbarian_battlecry_1														25					battlecry												1	9		none												SC	SC	xx				1													1	25					barbarian_battlecry_1			30	20					Taunt	Battle Orders		1					1						1	8	5	0	1																		300	duration	60	duration/level	15	% AC bonus	1	% AC bonus per level	4	damage resist							1								8																																				896	80000
Frenzy	147	bar	frenzy		9																	frenzy		375		velocitypercent	edln	attackrate	dm56	inc_splash_radius	dm34																																																	1												39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1											6	20					Double Swing								1						1	6	3	1											ln12+(skill('Double Swing'.blvl) + skill('Stun'.blvl))*par8	damage%							14	Damage % base	16	Damage % per level	0	increase splash radius min %	45	increase splash radius max %	0	min % attack speed increase	50	max % attack speed increase	375	base duration	10	damage synergy	1	20	10						8	128																												32	2	1	1				384	10000
Increased Speed	148	bar	increased speed																																											increasedspeed		velocitypercent	dm12																																																												1	0		none												SC	SC	xx				1																						24	20					Combat Reflexes														0	8	0	0	1						1												7	min % speed increase	50	max % speed increase													1								8																																				768	60000
Battle Orders	149	bar	battle orders		68												battleorders					battleorders	battleorders	7500		maxmana	ln34 * 128	maxhp	ln34 * 256																																																	barbarian_battleorders_1														25					battleorders												1	9		none												SC	SC	xx				1																						24	20					Shout			1											1	8	7	0	1																		750	duration	250	duration/level	50	Base  increase	15	Increase per level							125	duration synergy	1	50	10						8																																				768	60000
Grim Ward	150	bar	grim ward	34	75												grimwardmediumstart	grimwardsmallstart	grimwardlargestart		73731		grimward		ln12	damagepercent	ln56	tohit	toht																																																								barbarian_grimward_1						28	41					grimwardmediumstart	grimwardsmallstart	grimwardlargestart										1	0		none												SC	SC	xx				1				1		5	1															24	20					Taunt			1											1	8	4	0	1										ln34	ward duration							16	radius	1	radius/level	1000	duration	0	duration/level	40	%dmg	8	%dmg per level					1	130	20						8																																				768	60000
Whirlwind	151	bar	whirlwind	38	76																	whirlwind				velocitypercent	"min(ln56, 65)"	item_attackrate	100																																															1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1						1						1											30	20					Berserk								1						1	7	25	1											ln12	damage%							35	Damage percent per attack	5	Damage percent per level	100	Attacks per tick			0	velocity added	2	velocity increase per level					1	90	6						8	128																																			896	80000
Berserk	152	bar	berserk	32	9																	berserk		13		damageresist	-"min(ln34, 20)"	armor_override_percent	-100	passive_phys_pierce	ln56																																															barbarian_grunt_large_1	1																														1	4		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1											24	20					Concentrate								1						1	8	4	0											ln12+(skill('Combat Reflexes'.blvl) + skill('Taunt'.blvl))*par8	damage%			ln56	phys pierce			150	Damage % base	15	Damage % per level	5	-phys res	1	-phys res per level	5	phys pierce	2	phys pierce per level			10	damage synergy	1	60	8						8	128																																			768	60000
